,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
3620,09b51ed1ee5e29a1,"Mate, sound like you are jewish

Gayness is in the air",0,0,0,0,0,1
5839,0f9a7ba1acde6b6e,"it is obvius to, me, a black man, that orange is for da black Gs, blue is for mexicans and yellow is 4 whites. coz whites look like woman. and mexicans try to compete with da nigger Gs but we r too strong. but in realty the whites also lose to da black man coz we have foot longs124.176.226.45  

Orange-throated males are strongest and do not form strong pair bonds; instead, they fight blue-throated males for their females. Yellow-throated males, however, manage to snatch females away from them for mating.
Blue-throated males are middle-sized and form strong pair bonds. While they are outcompeted by orange-throated males, they can defend against yellow-throated ones.
Yellow-throated males are smallest, and their coloration mimics females. Under this disguise, they can approach orange-throated males (though not the stronger-bonding, blue-throated specimens) and mate while the orange-throats are engaged in fights.",0,0,0,0,0,1
13201,22f28f593011019e,"The Israelis are committing massacres in Gaza, but nobody listens. There is even no photos which exposes those who permitted these massacres.",0,0,0,0,0,1
17279,2da09631a5e75737,"""

 How does it feel 

To be a negress? Do you find it hard on yourself because your race genetically has average 85 IQ?  — Preceding unsigned comment added by 174.95.168.226   """,0,0,0,0,0,1
29220,4d7a10ae7a7c7621,"""

 A hit list for Jews 
There is a site called Jew Watch out there (I'll let you find the link) which specialises in """"keeping an eye on Jewish activities"""".  It is used as a reference site by anti-semites the world around.  Jew Watch makes it a point to make sure that they do not, under any circumstances, list someone who they cannot confirm 100% is Jewish.  Stormfront, a white supremist web forum, uses Jew Watch all of the time.

The criteria for inclusion on List of British Jews is the same criteria used by Jew Watch.  It is a criteria designed for anti-semites.  It is a criteria that is aimed in hurting Jews.

Jewish communities do not have such a criteria.  They allow anyone to be considered to be a Jew if they have any linkage with the Jewish community, through race, religion or culture.  This is the normal criteria that is used.  If your father is Jewish, then per Jewish community standards, you are Jewish.  And so forth.

Wikipedia as a whole has certain criteria for verifiability.  But these criteria are not being applied to this list.  This is being changed purely because this is a Jewish list.  Whilst Slim Virgin and her friends have claimed that this is in order to stop muslim terrorists, this is plainly not true.  If we are worried about terrorists strapping bombs to their bodies and blowing up Jews, then this list shouldn't exist at all.  And we should especially not try to focus on who are the """"real Jews"""".  Wikipedia are changing their rules, purely to push an anti-semetic point of view.  And while Slim Virgin goes around claiming that others who oppose her are neo-nazis, and ignoring their strong ties to the Jewish community, she herself has been unable to answer the questions about her own religious hatred.  And this is the same person who has supported muslim POV pushers, who have written vehement anti-semetic text throughout Wikipedia.  Slim Virgin has been a catalyst for banning people who have opposed these islamofascists.  Slim Virgin is an anti-semite.

Right now, I would encourage deletion of this list.  It is being run by anti-semites and used to harm all Jewish people.  Until such time as Slim Virgin can be banned from editing this and related pages, it is dangerous to continue to have such a page.  It is encouraging hatred of Jews.""",0,0,0,0,0,1
32790,5746f196895d2c2c,""" name was Willie, and he said he was standing about three people away from Elvis at the Patton Hotel in the fifties, and he overheard Elvis say, """"All a nigger can do for me is buy my records and shine my shoes.""""""",0,0,0,0,0,1
33031,57e76c3fc10415e5,"Gay comment 

Where is the citation for M Magazine?  Plus, the gay comment has atrocious syntax.",0,0,0,0,0,1
34271,5b7d8072a7784c02,"=WHY DO YOU HORDE DIAMONDS AND JEWLRY WHILE 1 BILLION  CHILDREN STARVE TO DEATH?
Jewish Devils own all the world's banks, yet donate ZERO percent to charity",0,0,0,0,0,1
35024,5d87270b96560f0b,"I am sure that you are the SON of one of those 15,000 moslem women who were raped in Ranchi Prison by Hindu-Sikh soldiers, though reality never comes out its not difficult to think that those muslim women lived in that prison for over 1 year and some of them also bore child or Hindu-Sikh soldiers.",0,0,0,0,0,1
40105,6b07e29ea503bb45,I hope you niggerfags realize that reverting my edits to the Karl Marx page smacks of communist faggotry - something not tolerated by my government. Enjoy being assraped men in black.,0,0,0,0,0,1
41631,6f0bbd2777216413,Black americans have a hive mind mentality and automatically switch political party preferences just like that.211.28.54.73,0,0,0,0,0,1
42109,705a5e4f12d17cad,"Why is your wiener so small? 

It is because you are Asian?",0,0,0,0,0,1
42432,713bf80e2df40a8f,"""

 Image caption - Homosexual? 

The second image of an infected persons back has a caption which reads:
""""A 23-year-old homosexual man had an intensely pruritic, papulonodular eruption over his arms and back.""""

How is the fact, that the man is homosexual, relevant? The sexual orientation does not change the course of the desease and I believe that the comment could enforce the stereotype, that homosexual people are all infected with STDs.
I think it should just say """"A 23-year-old man...""""
88.217.49.147  """,0,0,0,0,0,1
45277,79125b49903b5d37,"The facts: 
1. This is a blatant lie, as proven here. Your comment dates from . The last version containing non-religious reasons for conversion to islam, which was active around that time, , did not compare zakat to jizya anymore. 
2. You have complained with a fellow administrator in order to get me blocked. Because already several lies from your side have been proven beyond doubt, this does not surprise me at all.
3. People that reverted were mainly Irishpunktom and you, both known for their pro-islamic POV and regularly cooperating in edit warring (also regarding several other articles, such as Apostacy and dhimmi, for instance, in order to press pro-islamic POV. All this indicates a coordinated campaign in order to press Islamist viewpoints.
4. Prove it. The fact is, I have sources, you don't even try to source your POV OR and take resort to weasel wording instead. I will force you to source your statement in my next edit. 
5. Prove it. I added sources for every statement I  inserted, while you failed to do so.
 I conclude that it is in Wikipedia interest you to withdraw from administratorship.
 (Talk | Contribs 25px)",0,0,0,0,0,1
45290,791bda6b8be7a23b,"Ossmann,are you  jew or your father was an SS officer?",0,0,0,0,0,1
51983,8b23f49bccb80772,http://www.thirdworldtraveler.com/Blum/Greece_KH.html - America is pure evil,0,0,0,0,0,1
54480,9199dc0b302787a2,"If this guy isnt gay he is one SERIOUSLY GOOD actor!!!!! 

I've seen Hayes on Will & Grace and the way he acts so.....feminine he must be homosexual.No straight man can act so convincingly gay.But then again Sean acted pretty straight and normal in the movie where he played Jerry Lewis.My opinion is still in favour of him being gay though.",0,0,0,0,0,1
57551,99f49835ab16fb6e,Do you know the location of the laceration in a Jewish circ?,0,0,0,0,0,1
61087,a38e01fe6e506cc6,"You also want eternal hell???

‘chaitanya-mangala’ shune yadi pashandi, yavana seha maha-vaishnava haya tatakshana If even a great atheist hears Shri Chaitanya-mangala (previous name for Shri Chaitanya-bhagavata), he immediately becomes a great devotee.
Do not dare to do anything against Krishna consiousness or your complete atheism portal would go to eternal hell. This is warning...",0,0,0,0,0,1
61157,a3b8cd6a227b0482,"Can you think of a compelling reason... 

as to why murdering black people is wrong? 86.181.0.14",0,0,0,0,0,1
61489,a490a89efba3c2b2,"""

 First point - it was not only treated as mental illness, but as criminal activity.
 Second point - you should only refer to 'homosexual romance' in the lead if there is a section that deals with 'homosexual romance' in the body of the text, as the lead is a summary of what is in the body, and having ten sources does not count for much unless the terms are unpacked somewhere in the main text.  All these seem to show is that people like Giddens (who is a notable sociologist, but no authority on sexuality, sexology,  LGBT studies in general or homosexuality in particular) use the term.  If there were a link to an article Homosexual romance, which shows the term can be taken for granted, fine - otherwise it needs to be dealt with in the article before it can be inserted into the lead. 
 Third point, my earlier comment about this was made with ironic and humorous intent, because I have only come across the term 'romance' used in this context, at conferences, ironically or critically.  Just because a term is used in sources does not mean that it can be used in the lead when it is not in the text, for example, """"Homosexuals deserve to be executed or tortured""""   """,0,0,0,0,0,1
63611,aa32f471e48c91a7,"Throw the Jew down the well! 

So my country can be free!",0,0,0,0,0,1
63746,aa8f84a11fcd36bf,"""

Well, dear Ahasuerus: It is actually difficult to edit any page in Wikipedia without Muslims jumping at you and trying to censor you with all sorts of excuses. You must understand that the freedom of speech for Muslims is an alien concept. In Islamic countries if you say something against Islam they kill you. Where they can't kill you, they censor you. Wikipedia seems to be dominated by Muslims. This of course is not true in all the pages where Muslims have no interest, but when the interest of Islam comes in, they can be quite bullish in making their word prevail. But that is another story. This article started with some explanation like this:

In recent years especially after the 9/11 some observers, including Muslim dissidents have stated that Islam presents a threat bigger than Nazism not to just the Western world but to all non-Islamic countries. They have labeled those who defend Islam and try to be politically correct about it, the today’s useful idiots. 

[Ali Sina] states: “They are idiots because they speak without knowledge of Islam and its threat to mankind and they are useful to the Islamists with whose help they can penetrate the non-Muslim countries and destroy them from within.”  The same author writes: “More abhorrent than war is making peace with evil. In the words of the 18th Century British parliamentarian Edmund Burke, """"All that is necessary for evil to triumph is for good men to do nothing."""" Those who advocate peace with Islam are idiots of this century. If we do not stand against Islam it will grow and then billions will die. Trying to appease Muslims is foolish. It is informed by ignorance of Islam. Most cancers are treatable, if detected in time. But if ignored, they will grow to a stage that will kill you. Today we have the choice. We can either fight Islam and extirpate it before it threatens our existence or wait and face the apocalypses.” 

Muslims obviously don't like Ali Sina. For some reason anything you post here from him they will delete at once. So the above passage that explained the concept was deleted. The administrator SlimVirgin despite claiming impartiality, has yet to show that in actions. I could be wrong but for reasons that I explained to her, I have still to be convinced of that claim. I found out that she is Iranian, like Ali Sina, but of course most Iranians are still Muslims. She even once tried to discredit Ali Sina saying that he is Islamophobic. Obviously she sees genuine criticism of Islam unwarranted and interprets that as Islamophobia. My judgement about her is just based on my first impression and I could be wrong. I have explained to her my concern about her impartiality already and I hope she will eventually show I had misjudged her. 

In Wikipedia there is a lot of Islamic propaganda which are not true at all, but generally critical views about Islam do not survive. Why? If Wikipedia is impartial shouldn’t we give equal space to both sides? Would we accept if e.g. scientologist or any other cultists try to take over the Wikipedia and disallow any criticism of their cult? What is happening is very disturbing. There are hundreds of pages in Wikipedia that are misleading because they are edited and controlled by Muslims and as soon as you try to post anything showing the other side of the coin they revert it and even call your contribution “hate speech”. What about the Quran? Isn’t that book a hate speech?  

Funny thing is that they throw at you the basic rules of Wikipedia when in reality it is they who constanly breach those rules. 

If you try to write anything that Muslims don’t like they will delete it with invalid justifications. This is a very disturbing trend. For example the quotes of Ali Sina were removed because, as they said, he is not notable. There are 200,000 pages talking about faith freedom international. There have been death threats in Islamic sites against him, there are a few Islamic sites created just to refute him. Doesn’t all that say that he is notable at least to be quoted? Finally if he is notable enough to have a page in Wikipedia why his quotes should not be published? 

I am not familiar with the structure of Wikipedia, but I suppose there must be some committee that would check into complaints. (All I am hoping is that this committee is not already taken over by Islamists)  Is there a forum where important questions such as the direction Wikipedia is taking is discussed? 

Sorry, this subject might have not belonged to this page but these are things I would like to discuss. Is there a place to do that?  My point is that if Wikipedia loses its impartiality and becomes the guardian angel of a certain cult or religion, it loses its credibility fast.  05:13 2",0,0,0,0,0,1
63949,ab224edbed99a3dc,"""Don't forget; Moses damned you before his death as """"Israel betrayed her God so let they spread all over the world!"""".Yes, there is an israel today but the peace has never come there and it won't be.3/4 of jews are diaspora.Anyway...well then difficult days are waiting israel.Especially about iran...

Even israel can't breathe without US.Don't worry; we will make israel happy also until you-american jewish diaspora-satisfy us against armenians and greeks in US.However, most of american states recongized the so-called genocide.I hope US parliament doesn't make that kinda mistake...

Yes, nobody welcomes jews.Do you want examples? Spaniards had killed thousands of jews and we saved you.French people burnt you down alive.Britons expelled all the jews.No need to talk about germans.Askenazis were living like animals under byzantine rule until we've come...I can give you a lot of examples...Yes there were 5 million jews in russia.What happened then? All of them were forced to live in """"Pale"""".Most of them slaughtered, orphaned and expelled.Most of the jews in US had flee from imperial russia.Yes, they really love you...

I have talked wit many foreign people.A russian girl told me: """"Ewww, do you like jews?"""" A greek told me: """"Don't you hate."""" An armenians told me: """"Kill all the jews who are decendants of devil""""...Only Arabs and Turks welcomed you but you're slaughtering arabs in palestine at the moment...

Don't misunderstand me.I am a realist.Most of the people on the world hates Turks also but we have a difference.We are the strong.Yeah some people loves Turks as well but they're minortiy and hatred of others reason is more jealousy...

Last but not least, i said that you couln't behave opposite against US in my last comment...

""",0,0,0,0,0,1
69241,b9447712baedd9c0,""" 
 jews 
the only people that do conspiring is the jews, they are constantly conducting conspiracies and hide behind their shield of """"anti-semitism"""" and """"racist"""".. just letting people know
""",0,0,0,0,0,1
77620,cfedbe3eaf545621,"Christian XXX
What do you mean citations? The guy is all over gay porn and always been active in it. I provided one of hundreds of links showing the release dates within the last 2 months of his gay porn so whats your problem. Why are you undoing it?
That vendor link you provided me does not demonstrate anything. All I see is just a list of recent gay movies. Why are you focusing on his gay work? The intro just said he was known in gay porn as Maxx Diesel at the beginning of his career. It doesn't really suggest that he stopped doing gay work.",0,0,0,0,0,1
80740,d80aaf77f51c3140,"I too agree with you, after seeing the POV changes in the anti-India articles, after I have been blocked. Let this site continue to be used for donation-begging of the kind that  Asian beggars do through exhibition of fake wounds and amputations. I admire the treasonous missionaries for their excellent craft. It is good that Christ cannot be here to drive out the Pharisees and money-changers where petty soldiers and mechanics, and paedophile priests  sit in judgement of history and knowledge.",0,0,0,0,0,1
81593,da39f7020d585398,"""IP 65.35.248.179 Dislikes Scienceman123 (ALOT)==
See topic, and discuss at your earliest convience.
Additionally, my friend think you are, as he says a """"gayfag"""", how do you respond to this inquiry?

==""",0,0,0,0,0,1
82028,db70617d5edbc97e,"Stop editing it.  I'm from Santa Clarita, I went to Saugus High School so I know that they are, in fact, gay.",0,0,0,0,0,1
82140,dbbadd2bb0bfe7eb,"Jewish 

Please dont think that jews are everyone just based on your claims. Also dont think jews are smart. if you think so, you are making a clown out of yourself..",0,0,0,0,0,1
84557,e2365dc810639224,THIS SITUSH GUY IS MESSING UP THIS ARTICLE ON PURPOSE. HE IS NOT WHITE. WHAT ARE YOU SITUSH? IF YOU ARE WHITE YOU DONT KNOW ANYTHING ABOUT INDIAN HISTORY IF YOU ARE INDIAN YOU HATE SAINI COMMUNITY FOR SOME REASON. Gurdan Saini was a military general who died in a battle between the Turk forces of Jalal ud din Firuz Khilji and the Rajput forces of Rana Hamir in the 14th century CE. RAJPUTS DID NOT HAVE ANY GENERAL IN THEIR MILITARY WHO WAS NOT RAJPUT. HOW WOULD YOU EXPLAIN THAT. I KNOW WHAT YOU ARE GOING TO SAY. IT'S WHAT YOU ALWAYS SAY. IT'S NOT A RELIABLE SOURCE. YOU MAKE ME LAUGH. VERY SAD,0,0,0,0,0,1
84862,e315fe64a66a19e7,"Gay propaganda .   
   
   
   
Gay propaganda is forbidden.",0,0,0,0,0,1
88277,ec22b4c0ede9f78c,"""::::::::::""""During slavery and Jim Crow, race was used to justify the law treating those superior blacks as inferiors."""" Whereas, now, race is used to justify treating possibly inferior blacks as equals, without evidence, which is just as unfair. I imagine you'll have some histrionic fit """"OMG, he's a racist"""", but like I said, there is no evidence races are equal, in terms of wealth generation. 128.40.97.30  

""",0,0,0,0,0,1
88997,ee0cd9848d15c337,"Gay Hatred 

Ah I see you are a homophobe just like Joakim Noah. Maybe one day people can live in peace but until then we just have to put up with people like you.",0,0,0,0,0,1
89144,ee7d63aae7c7c72f,So the fact Macedonian is a jew and has abusive opinions means nothing!!!,0,0,0,0,0,1
89648,efccd028d3dca460,"Cognomen2: Berg reversed his stance dramatically on Jews after his Kibbutz dream fell through when he realized a Christian Kibbutz with a Zionist bent who would want to proselytize in Israel (early COG) would not be accepted. He then began, in his delusional state, to see Israeli's as demons. He even went so far as to publish literature promoting Mo'ammar Khadaffi of Lybia and visited him in Lybia as did a number of his own biological family and other top leadership. His vitriol against Jews grew to an extent that rivals Hitler.  - Warheit.",0,0,0,0,0,1
90564,f2505849c9c73207,"Civility: stop editing other peoples post for MINOR reasons. There are real civility issues out there like

I am keeping this bit of filth for evidence and show.http://en.wikipedia.org/w/index.php?title=Wikipedia%3ARequests_for_arbitration%2FHis_excellency%2FEvidence&diff;=69701704&oldid;=69699623

In my own defense: A man has a right to his opinion. I do feel Timothy Usher is a bigot. I do feel that Jews are screwing up the planet (though admittedly Muslims, by far, surpass the Jews in their capacity to destroy things). Look at history. Only recently has it become the norm to like Jews. That only came about after certain countries (eg America) adopted them as the collective dame-in-distress needing shelter and protection. Sort of the precursor to the chihuahua. Before then, Jews were hated in Europe and America alike..And everywhere else. We all know Jews were once banished from most culturally superior European countries. The only reason why Poland took them in was that they had loads of money. Probably the same reason why Washington panders to the now. Point is, alot of people dislike Jews. I'm entitled to, so long as I don't demonstrate that dislike on articles dealing with the topic of Jews. We don't penalize people for not liking things, do we? His Excellency... 

So how about dealing with things like that. PS this user is not perminently banned!",0,0,0,0,0,1
91787,f55d8cdbfd7b8bab,"""

 Anti-Semitism? I'm outta here! 

Archangel White Tiger:

A few words, meow:

Oh, so I was banned for quoting the Torah! Excellent, the admins here are banning for """"personal attack on gays"""", when you recite The Words of The G-d, but no one was banned for saying, that holocaust victims were gays and gypsies! More than six million people died in holocaust just because they were Jews, the statement at which I got angered is was of accusing martyrs in concentration camps in sodomy, which IS one of the greatest sins, according to BIBLE - Old Testament, TaNaKh and the New Testament, B’rit Chadashah of Messiah Yeshua Ben Elochim, Jesus Christ the Son of G-d, that Ta Bu Shi Da Yu never tried to read... These are pure actions of anti-Semitic and Heretic propaganda, some sort of modern faschism...

 *** ***

For the last words (and I'm outta here) I will recite Bible... The reason I was banned is for """"surely"""" confirming these Words:

Leviticus 20:13

""""If there is a man who lies with a male as those who lie with a woman, both of them have committed a detestable act; they shall surely be put to death. Their bloodguiltiness is upon them.""""

 *** ***

And this will be my good-bye to all nazis here: ;)

Matthew 7:6

""""Do not give what is holy to dogs, and do not throw your pearls before swine, or they will trample them under their feet, and turn and tear you to pieces.""""""",0,0,0,0,0,1
95960,014ec6bcc72a28b8,"""

That is not a insult. That is a reality, that link is a lint to a racist group. And armenian grow up  their children with racism. They send their children to """"genocide camps"""" and teach them how barbarian Turks are making genocide(!). If you dont believe me please ask an Armenian user.  """,0,0,0,0,0,1
98459,0ea9e0766256152a,"These blood-thirsty liberal lynch mobs wanted to turn Trayvon into another Emmett Till. No, not kidding again. They are so full of intense HATRED towards white people, that when the perp turns out to NOT be white....they make him white anyway! lol",0,0,0,0,0,1
102806,2625590fee14c640,Nazis must be fought everytime.,0,0,0,0,0,1
103870,2bc333e33fdce76a,"""

Evils of Atheism

It's about damn time somebody taught atheists their own medicine, and before you ask, I do not generalize, I think there's a cultural distinction between atheism and nonbelievers. Atheists tend to be enraged over religion of any kind, and spend a lot of time elevating Darwin and bemoaning the Crusades. Nonbelievers in general - say, someone who's raised a Christian, believes the Bible is an allegory, and only attends church for a funeral or perhaps at Christmastime - tend to adopt a """"Whatever gets you through the night"""" philosophy and be quiet on matters of faith. It's sort of like the difference between a devout vegetarian and someone who hates the taste of meat. Atheists are proud of their hate. It is something that they love devoutly and use it to hate christians.""",0,0,0,0,0,1
104283,2e0405ca7c4c10ed,Hi sorry to edit this page...i didnt know where else to contact you... but i noticed your edited the buddhism section and since you nicely taken out my site why didnt you take out this site ReligiousTolerance.org Buddhism Page a non-biased description of Buddhism. its not very good is it...if you take off my link you should aleast keep to your standards and take off that one.,0,0,0,0,0,1
110079,4cca736d10da6f2a,"""It's funny how the first people to throw around """"possible motives"""" are always the ones who get it absolutely wrong. They get it so completely wrong with all their guesses it's almost as if they weren't guesses at all, but intentional deception. It's pretty obvious at this point to anyone who can think that this guy Ivins was a Mossad asset. He was a Jew carrying out a false-flag operation as Jews do, he pretended to be a muslim terrorist, he and his government pals wanted to...remove...a certain muslim researcher, while manufacturing some more fear of muslim """"terrorism"""" to get the American goyim more enthusiastic about letting themselves be slaughtered in Jew wars for Israel. Oh, you thought your """"soldiers"""" use those pathetically insufficient body armors and faulty rifles cuz there's not enough money? And so it goes. I'm not ruling out the possibility that this Ivins guy and his Zionist Bolshevist friends do this sort of stuff just as naturally as lions eat sheep, instinctively, but there may have been another motive for it as well. They don't want their enemies, muslims and other goyim, standing around when they're developing sophisticated biological weapons to take out entire races of humans, perhaps only sparing the God's Chosen, the Master Race by any other name. The Jews were the real """"Nazis"""" all along. Fools.   

""",0,0,0,0,0,1
110263,4ddac903c0ac35a0,"i need to leave fisherQueen a message...WE'RE BACK!!!!!!!!!!!!!! well only on this page.. but soon we will be after you!!!!!!!!!!!! Just kidding...maybe...you will never know! THEY are after you and your lesbian friends!!!!!! And merope, you cant call that comment pearsonal offence because it says on her user page!!!!!!!!!!!!!!!!!!!!!",0,0,0,0,0,1
116218,6d5688fab66073c6,"""Question ==

Can you tell me what is your problem?What is the reason you are deleting referenced updated informations about ethnic groups in Vojvodina and Serbia?
You are a retired Serb-killer aren't you?Yes you are I read your user page and I've seen your contributions . You  also wanted to delete an article concerning gross crimes against Kosovo Serbs.The article is also fully referenced and factual,but because it shows what monsters Albanians can be you want to delete it(an Albanian on talk page says  """"There were no crimes.It is not a crime to kill a Serb because they not belong here"""" that is how sick they are).I know what you hate the most.Facts.That is why are deleting informations about ethnic groups which live in Serbia,you want to infiltrate their numbers.If not Serb-killer(could be) you are a Serb-hater that is for sure.Very sad.I could be blocked again but I will be back I promise you that.
Obviously I am not banned because I am writing this.Please stop deleting texts I write  I will undo your changes 

24.135.84.89  
== """,0,0,0,0,0,1
116799,7057dc91a3f1c800,"""

  The LGBT Barnstar awarded because your sir/mam are a queer douche   -""",0,0,0,0,0,1
117669,74a9f3c84e4c5b28,"""

How genius!  RickK would love your style of being what he is not.  You know what?  I never make formal complaints, running off to fagmom about how I'm wrong and need somebody to lay the smackdown on my enemies, to let me get away with my fantasy revisionism to edit faggotry as normalcy.  That could be because I have no ulterior motive, nothing to gain or lose by any of this.  That's right, encourage the systematic behaviors of these gays whose profession is to get under other people's skin and pat themselves on the back for their """"bravado"""".  Maybe James will become famous one day.  You know, Ellen Degenerate outed herself and became a star.  How vain, that sexuality is everything and overrides the focus of constitutional questions, civil wars and the religious establishment.  Let pederastic perverts win the day.  Hurrah!  24.255.11.149  """,0,0,0,0,0,1
129609,b550a8f4fe248cfe,holocaust was needed by the whole humanity,0,0,0,0,0,1
131722,c0d2ac2a3bb7a344,"LWC,  there is more to it than you think. You see one particular editor here, Ctjf83, pus out all possible stops to retain this image, even over other fisting images. Hmmmmm.  This is because it is quite transparent that it is a photo of himself getting fisted, and he gets some satisfaction from seeing it on the website. He is a confirmed homosexual and seems sick",0,0,0,0,0,1
140961,f24a0fcc1f403334,yeah after few days some jews will say nasser al-kharafi is jew lol!,0,0,0,0,0,1
146309,2a4a8e6efa55ba18,"many more Gay Types 

there are many more types of Gay as Gay bear,chubby bear,stocky bear,chubby gays.
 more c
www.bearwww.com
www.bear411.com
www.biggggercity.com\chat",0,0,0,0,0,1
149928,63c44599fce8f0c2,"Basically, homosexuality lowers productivity, which, through natrual law, would make it a disorder.",0,0,0,0,0,1
154533,af479dae8f48eb56,"The Jews who keep trolling this article are merely trying to cause a problem.  If they weren't then why are they always together, Jewish and all on topics even just slightly related to Jews?  Maybe they should learn to read Polish?  God forbid that I would stick up for the little guy, whilst these jackasses won't stop their ganging up.  I've already been threatened with a promise by",0,0,0,0,0,1
